graph,scenario,gamma_u,q,estimator,gate,bias,sd,rmse,reps
synthetic,S1,0.0,0.1,EARL,2.0289111878287427,0.05428580223347801,2.7002424216079453,2.7007880486582563,1000
synthetic,S1,0.0,0.1,EARL-centred,2.0289111878287427,0.05895043122310506,3.822458623391388,3.8229131667984,1000
synthetic,S1,0.0,0.1,ERL-drop,2.0289111878287427,-1.8205914888225205,0.2700242421607945,1.840507120477265,1000
synthetic,S1,0.0,0.1,IPW-assign,2.0289111878287427,-1.8208350956735806,0.2704131402823325,1.8408051803691694,1000
synthetic,S1,0.0,0.1,IPW-alloc,2.0289111878287427,-1.3808898836492605,2.396450788337663,2.7658331930340765,1000
synthetic,S1,0.0,0.2,EARL,2.0289111878287427,0.034762532790237444,1.7463683420367362,1.7467142925373147,1000
synthetic,S1,0.0,0.2,EARL-centred,2.0289111878287427,-0.10998112688883976,2.996680131248042,2.9986976601999276,1000
synthetic,S1,0.0,0.2,ERL-drop,2.0289111878287427,-1.6161764437049468,0.3492736684073472,1.6534867379660154,1000
synthetic,S1,0.0,0.2,IPW-assign,2.0289111878287427,-1.6135508786638324,0.35525046004076666,1.6521953054636132,1000
synthetic,S1,0.0,0.2,IPW-alloc,2.0289111878287427,-1.4810997032335211,10.552613626074564,10.656045733391585,1000
synthetic,S1,0.0,0.3,EARL,2.0289111878287427,-0.0009796760962696993,1.2023231750402072,1.2023235741696237,1000
synthetic,S1,0.0,0.3,EARL-centred,2.0289111878287427,-0.037134827329394104,2.4863206917323835,2.486597992747799,1000
synthetic,S1,0.0,0.3,ERL-drop,2.0289111878287427,-1.420531734309001,0.3606969525120621,1.4656100094262547,1000
synthetic,S1,0.0,0.3,IPW-assign,2.0289111878287427,-1.423054891821644,0.3720895607823736,1.470896279953393,1000
synthetic,S1,0.0,0.3,IPW-alloc,2.0289111878287427,-0.5581106656701473,8.513145820736987,8.53142070702567,1000
synthetic,S1,0.0,0.4,EARL,2.0289111878287427,0.03125041705280385,0.912043281176662,0.9125785091187858,1000
synthetic,S1,0.0,0.4,EARL-centred,2.0289111878287427,0.12271559804960486,2.2659472809729184,2.2692677669577104,1000
